Title	Alternative Title	Year	Director	ASL	Country	Scope	Cinematographer	Editor	Studio
36 Quai des Orf?vres 	36	2004	Marchal, Olivier 	4.39	FRA 		Rouden, Denis 	Hachdé 	
37.2 Le Matin 	Betty Blue 	1986	Beineix, Jean-Jacques 	13	FRA 		Robin, Jean-Francois 	Prim, Monique 	CPC
4 Months, 3 Weeks and 2 Days 		2007	Mungiu, Cristian 	92.69	RUM 		Mutu, Oleg 	Bunescu, Dana 	
4: Rise of the Silver Surfer 	Rise of the Silver Surfer 	2007	Story, Tim 	2.69	USA 	s 	Blanford, Larry 	Hoy, W. & Elliot, P 	
40 Days and 40 Nights 		2002	Lehmann, Michael 	3.7			Davis, Elliot 	Smith, Nicholas C. 	WTI
40 Guns to Apache Pass 		1966	Witney, William 	7.1	USA 		Marquette, Jacques 	Whytock, Grant 	
40 Year Old Virgin, The 		2005	Apatow, Judd 	3.6	USA 		Green, Jack N. 	White, Brent 	UNI
42nd. Street 		1933	Bacon, Lloyd 	8.1	USA 		Polito, Sol 	Ware, F. & Pratt, T. 	WAR
44 Inch Chest 		2009	Venville, Malcolm 	3.97			Landin, Daniel 	Russell, Rick 	
48 HRS. 		1982	Hill, Walter 	4.26	USA 		Waite, Ric 	Davies, Warner, Webe 	PAR
5 Days of War 		2011	Harlin, Renny 	3.09		s 	Varese, Checco 	Berdan, Brian 	
5 Fingers 		1952	Mankiewicz, Joseph L. 	16.6	USA 		Brodine, Norbert 	Clark, James B. 	FOX
5 x 2 		2004	Ozon, Francois 	13.53	FRA 		Le Saux, Yorick 	Coleman, Monica 	
5,000 Finger of Dr. T, The 		1953	Rowland, Roy 	5.77	USA 		Planer, Frank 	Clark, Al 	COL
50 First Dates 		2004	Segal, Peter 	3.28	USA 		Green, Jack N. 	Gourson, Jeff 	
51st. State, The 		2001	Yu, Ronny 	3			Poon Hang Sang 	Wu, David 	AAT
54		1998	Christopher, Mark 	5.3	USA 		Gruszynski, Alexande 	Percy, Lee 	MMX
55 Days at Peking 		1963	Ray, N., Marton, A., 	6.99	USA 	s 	Hildyard, Jack 	Lawrence, Robert 	
633 Squadron 		1964	Grauman, Walter E. 	5.2	BRI 	s 	Scaife, Edward 	Bates, Bert 	MIR
6th. Day, The 		2000	Spottiswoode, Roger 	2	USA 	s 	Mignot, Pierre 	Conte, Fortin, Arcan 	PHO
6th. Man, The 		1997	Miller, Randall 	2.6	USA 		Ozier, Michael 	Sears, Eric 	TOU
7th. Cavalry 		1956	Lewis, Joseph H. 	9.39	USA 		Rennahan, Ray 	Havlick, Gene 	COL
7th. Dawn, The 		1964	Gilbert, Lewis 	7.1	BRI 		Young, Frederick 	Shirley, John 	
7th. Heaven 		1927	Borzage, Frank 	5.9	USA 		Palmer, Ernest & Valentine, Joseph 	Caldwell & Hilliker 	FOX
8 Mile 		2002	Hanson, Curtis 	3.41	USA 		Prieto, Rodrigo 	Rabinowitz & Kitson 	IMG
8 Million Ways to Die 		1986	Ashby, Hal 	7.73	USA 		Burum, Stephen H. 	Pappé, S. & Lawrence 	
8 mm 		1999	Schumacher, Joel 	6.3	USA 	s 	Elswit, Robert 	Stevens, Mark 	
8 Seconds 		1994	Avildsen, John G. 	6.9	USA 				NLI
8 Women 		2001	Ozon, Francois 	8.1			Lapoirie, Jeanne 	Bawedin, Laurence 	
8.5		1963	Fellini, Federico 	10.4	ITA 				
80,000 Suspects 		1963	Guest, Val 	9.5	BRI 	s 	Grant, Arthur 	Lenny, Bill 	
800 Leagues Down the Amazon 		1993	Llosa, Luis 	4.4			Guerra, Flores 	Gibby, Gwyneth 	
84 Charing Cross Road 		1986	Jones, David 	13.8	BRI 		West, Brian 	Wimble, Chris 	
9-Rota 	9th. Company 	2005	Bondarchuk, Fyodor 	2.92	RUS 		Osadschy, Maksim 		
A bout de souffle 	Breathless 	1959	Godard, Jean-Luc 	15	FRA 				
? bout portant 	Point Blank 	2010	Cavayé, Fred 	3.34	FRA 	s 	Ouplantier, Alain 	Neill, Benjamin 	
A la place du coeur 		1998	Guédigian, Robert 	9.7	FRA 		Cavalié, Bernard 	Sasia, Bernard 	
A l'attaque 		2000	Guédigian, Robert 	9.3	FRA 		Cavallé, Robert 	Sasia, Bernard 	
A ma soeur! 		2001	Breillat, Catherine 	25.7			Arvanitis, Yorgos 	Chavance, Pascale 	
A Nous la Liberté 		1931	Clair, René 	9.5	FRA 				
? perdre la raison 	Our Children 	2012	Lafosse, Joachim 	17.13		s 	Hensgens, Jean-Francois 	Vercruysse, Sophie 	
Aah 		1953	Nawatha, Raja 	9.5	IND 		Pathare, Jaywant R. 	Mayekar, G.G. 	
Aaltra 		2004	Delepine & Kerven 	20.89	BEL 		Poulain, Hugues 	Guegan, Anne-Laure 	
Aap ki Khatir 	For Your Sake 	1977	Roy, Sudhendu 	8.5	IND 				
Aar Paar 		1954	Dutt, Guru 	9.8	IND 		Murthy, V.K. 	Chawan, Y.G. 	
Abba: The Movie 		1977	Hallström, Lasse 	3.8		s 	Churchill & Onorato 	Hallström & Neidemar 	
Abbott and Costello in the Foreign Legion 		1950	Lamont, Charles 	6.9	USA 		Robinson, George 	Gross, Frank 	UNI
Abbott and Costello Meet Captain Kidd 		1952	Lamont, Charles 	7.1	USA 		Cortez, Stanley 	Mann, Edward 	
Abbott and Costello Meet Dr. Jekyll and Mr 		1953	Lamont, Charles 	6.5	USA 		Robinson, George 	Schoengarth, Russell 	UNI
Abbott and Costello Meet the Invisible Man 		1951	Lamont, Charles 	8.9	USA 		Robinson, George 	Vogel, Virgil 	UNI
Abbott and Costello meet the Keystone Kops 		1955	Lamont, Charles 	6.5	USA 		Lanning, Reggie 	Curtiss, Edward 	UNI
Abbott and Costello Meet the Killer 		1949	Barton, Charles T. 	9.5	USA 		Enger, Charles van 	Curtiss, Edward 	UNI
