Title	Alternative Title	Year	Director	ASL	Country	Scope	Cinematographer	Editor	Studio
Devil to Pay, The 		1930	Fitzmaurice, George 	10.1	USA 		Barnes, G. & Toland, 	Whytock, Grant 	GOL
Devil Wears Prada, The 		2006	Frankel, David 	4.05	USA 	s 	Ballhaus, Florian 	Livolsi, Mark 	FOX
Devil's Advocate, The 		1997	Hackford, Taylor 	3.7	USA 	s 	Bartkowiak, Andrzej 	Warner, Mark 	WAR
Devil's Double, The 		2011	Tamahori, Lee 	4.23		s 	McCurdy, Sam 	Carballar, Luis & McKay, Craig 	
Devil's Kiss, The 		1971	Gigo, Jorge 	11.5	SPA 				
Devils of Darkness 		1964	Comfort, Lance 	9.31	BRI 		Wyer, Reginald 	Trumper, John 	
Devils on the Doorstep 		2000	Jiang Wen 	4.04	CHI 		Gu Chang Wei 	Wiesinger & Zhang Yifan 	
Devil's Own, The 		1997	Pakula, Alan J. 	4.4	USA 	s 	Willis, Gordon 	Rolf, T. & Virkler,D 	
Devil's Rejects, The 		2005	Zombie, Rob 	2.88	USA 		Parmet, Phil 	Garlad, Glenn 	
Devils, The 		1971	Russell, Ken 	7.22	BRI 	s 	Watkin, David 	Bradsell, Michael 	
Devil-Ship Pirates, The 		1964	Sharp, Don 	8	BRI 	s 	Reed, Michael 	Needs, James 	HAM
Devushka s Korobkoi 	Girl With The Hatbox, The 	1927	Barnet, Boris 	4	RUS 		Frantisson & Filshin 		
Dezertir 	Deserter 	1933	Pudovkin, V. 	2.3	RUS 				
Dharam Veer 		1977	Desai, Manmohan 	4	IND 		Shrinivas, N.V. 	Kamlakar 	
Dia de suerte, un 	Lucky Day, A 	2002	Gugliotta, Sandra 	6.8	ARG 		Guerra, Ianuzzi, Mig 	Flah, Jose 	
Diables, les 		2002	Ruggia, Cristophe 	6.5			Guichard, Eric 	Baz-Legal, Tina 	
Diabolique 		1996	Chechik, Jeremiah 	5.4	USA 		James, Peter 	Littleton, Carol 	MCR
Dial M for Murder 		1954	Hitchcock, Alfred 	9.3	USA 		Burks, Robert 	Fehr, Rudi 	WAR
Diamond Dogs 		2007	Dotan, Shimon & Lundgren, Dolph 	4.28			Rao, Bing 	Huot, Gaetan 	
Diamond Queen 		1940	Wasia, Homi 	5.8	IND 				
Diamond Queen, The 		1953	Brahm, John 	6.7	USA 		Cortez, Stanley 	Lyon, Francis D. 	
Diamonds are Forever 		1971	Hamilton, Guy 	4.85	BRI 		Moore, Ted 	Bates, B. & Holmes, J. 	
Diary of a Chambermaid, The 		1946	Renoir, Jean 	13.26	USA 		Andriot, Lucien 	Smith, James 	
Diary of a City Priest, The 		2001	Martin, Eugene 	10.3	USA 		Pearlman, Michael 	Martin, E. & Vizza, 	
Diary of a Mad Housewife 		1970	Perry, Frank 	7.7	USA 		Hirschfeld, Gerald 	Katz, Sidney 	
Diary of a Wimpy Kid 		2010	Freudenthal, Thor 	3.21	USA 		Green, Jack N. 	Bricmont, Wendy Greene 	
Diary of the Dead 		2007	Romero, George A. 	10.71	USA 		Swica, Adam 	Doherty, Michael 	
Dick 		1999	Fleming, Andrew 	5.17	USA 		Gruszynski, Alexander 	Goldman, Mia 	
Dick Tracy 		1945	Berke, Wiliam 	6.7	USA 		Redman, Frank 	Leadlay, Ernie 	RKO
Dick Tracy 		1990	Beatty, Warren 	4.4	USA 		Storaro, Vittorio 	Marks, Richard 	TOU
Dick Tracy Meets Gruesome 		1947	Rawlins, John 	6.2	USA 		Redman, Frank 	Williams, Elmo 	RKO
Dick Tracy vs. Cueball 		1946	Douglas, Gordon 	8.6	USA 		Diskant, George E. 	Martin, Jr., Philip 	RKO
Dick Tracy's Dilemma 		1947	Rawlins, John 	6.3	USA 				RKO
Dickie Roberts: Former Child Star 		2003	Weisman, Sam 	3.15	USA 	s 	Ackerman, Thomas 	Bondelli, Roger 	PAR
Did You Hear About the Morgans? 		2009	Lawrence, Mark 	4.77	USA 		Ballhaus, Florian 	Morse, Susan E. 	
Die Another Day 		2002	Tamahori, Lee 	2.3			Tattersal, David 	Wagner, Christian 	
Die Hard 		1988	McTiernan, John 	4.47	USA 	s 	Bont, Jan de 	Urioste & Link 	
Die Hard - With a Vengeance 		1995	McTiernan, John 	4.1	USA 	s 	Menzies, Peter 	Wright, John 	CGI
Die Hard 2: Die Harder 		1990	Harlin, Renny 	2.84	USA 		Wood, Oliver 	Ferretti, Robert A. 	
Die Hard 4.0 		2007	Wiseman, Len 	1.96		s 	Duggan, Simon 	De Toth, Nicolas 	
Die Laughing 		1980	Werner, Jeff 	5.4			Myers, David 	Travis, Neil 	
Diexue Shuang Xiong 	Killer, The 	1989	Woo, John 	2.5	HON 	s 	Wong Wing-Hang 	Fan Kung-Ming 	CWO
Different for Girls 		1996	Spence, Richard 	8.9	BRI 		Van Hale, Sean 	Gamble, David 	
Digby: The Biggest Dog in the World 		1973	McGrath, Joseph 	4.4	BRI 				
Digging to China 		1998	Hutton, Timothy 	6.4	USA 		Persson, Jörgen 	Congdon & Jakubowicz 	
Diggstown 	Midnight Sting 	1992	Ritchie, Michael 	3.6	USA 		Fisher, Gerry 	Zimmerman, Don 	MGM
Dil apna aur preet parai 		1960	Sahu, Kishore 	8.7	IND 		Wirsching, J. 	Shukla, Kantilal B. 	
Dil Chahta Hai 	Do Your Thing 	2001	Akhtar, Farhan 	6.1	IND 	s 	Chandran, Ravi K. 	Prasad, Sreekar 	
Dil hi to hai 		1963	Rawal, C.L. & Santoshi, P 	9	IND 		Chopra, Dharam 	Mehra, Pran 	
Dil se... 		1998	Ratnam, Mani 	8.5	IND 				
Dilemma, The 		2011	Howard, Ron 	3.43	USA 	s 	Totino, Salvatore 	Hill, Mike & Hanley, Dan 	
Dillinger 		1945	Nosseck, Max 	5.5	USA 				
Dillinger 		1973	Milius, John 	5.98	USA 		Brenner, Jules 	Feitshans, Fred 	AIP
Dilwale dulhaniya le jayenge 		1995	Chopra, Aditya 	7	IND 	s 	Singh, Mammolian 	Raidu, Keshav 	
Dimples 		1936	Seiter, William A. 	10.8	USA 		Glennon, Bert 	Levy, Herbert 	FOX
Diner 		1982	Levinson, Barry 	7.89	USA 		Sova, Peter 	Linder, Stu 	
Diner des cons, le 		1998	Veber, Francis 	4.4	FRA 		Tovoli, Luciano 	Klotz, Georges 	GAU
Dinner at Eight 		1933	Cukor, George 	17.5	USA 				
Dinosaurus! 		1960	Yeaworth, Jr., Irvin S. 	6.8	USA 	s 	Cortez, Stanley 	Bushelman, John A. 	
Dirty 		2005	Fisher, Chris 	3.14	USA 		Rocket, Eliot 	Wright & Sanders 	
Dirty Dancing 		1987	Ardolino, Emile 	7.3	USA 		Jur, Jeff 	Frank, Peter C. 	VES
Dirty Dancing: Havana Nights 		2003	Ferland, Guy 	2.54	USA 		Richmond, Anthony B. 	Richter, S. & Colina, L. 	
Dirty Dozen, The 		1967	Aldrich, Robert 	3.88	USA 	s 	Scaife, Edward 	Luciano, Michael 	MGM
Dirty Harry 		1971	Siegel, Don 	5.01	USA 	s 	Surtees, Bruce 	Pingitore, Carl 	WAR
Dirty Mary, Crazy Larry 		1974	Hough, John 	6	USA 		Margulies, Mike 	Holmes, Christopher 	
Dirty Pretty Things 		2002	Frears, Stephen 	6.61			Menges & Strasburg 	Audsley, Mick 	
Dirty Rotten Scoundrels 		1988	Oz, Frank 	7.73	USA 		Ballhaus, Michael 	Rotter, S. & Scharf, W. 	ORI
Dirty Shame, A 		2004	Waters, John 	3.08	USA 		Gainer, Steve 	Wolf, Jeffrey 	NLI
Dirty Weekend 		1992	Winner, Michael 	3.7	BRI 		Jones, Alan 	Crust, Arnold 	
Dirty Work 		1998	Saget, Bob 	5.2			Albert, Arthur 	Folsey, Jr., George 	MGM
Disappearance of Alice Creek, The 		2009	Blakeson, J. 	3.06	BRI 	s 	Blaubach, Philipp 	Eckersley, Mark 	
Disappearance of Kevin Johnson, The 		1997	Megahy, Francis 	36.5			Newby, John 	LeGrand, Hudson 	
Disappeared, The 		2008	Kevorkian, Johnny 	4.26	BRI 		Rodriguez, Diego 	Haining, Celia 	
Disclosure 		1994	Levinson, Barry 	5.7	USA 		Pierce-Roberts, Tony 	Linder, Stu 	WAR
Disco Pigs 		2001	Sheridan, Kirsten 	4.5			Jadue-Lillo, Igor 	Yeates, Ben 	
Disconnect 		2012	Rubin, Henry Alex 	4.4	USA 		Seng, Ken 	Percy, Lee & Tent, Kevin 	
Disgrace 		2008	Jacobs, Steve 	6.31		s 	Arnold, Steve 	de Franceschi, Alexandre 	
Dish, The 		2000	Sitch, Rob 	4.7	AUS 		Wood, Graeme 	Bilcock, Jill 	
Dishonored 		1931	Sternberg, Josef von 	7.5	USA 				
Disney's The Kid 		2000	Turtletaub, Jon 	3.8	USA 		Menzies, Jr., Peter, 	Honess & Rennie 	DIS
Distant Drums 		1951	Walsh, Raoul 	5.62	USA 		Hickox, Sid 	Blangsted, Folmar 	WAR
Distant Trumpet, A 		1964	Walsh, Raoul 	6	USA 	s 			
Distant Voices, Still Lives 		1988	Davies, Terence 	16.07	BRI 		Diver, William & Duval, Patrick 	Diver, William 	
Distinguished Gentleman, The 		1992	Lynn, Jonathan 	4.48	USA 		Beristain, Gabriel 	Leirer & Lombardo 	HWD
District 9 		2009	Blomkamp, Neil 	3.66			Opaloch, Trent 	Clarke, Julian 	
Disturbia 		2007	Caruso, D.J. 	3.37	USA 		Stoffers, Rogier 	Page, Jim 	DWK
Disturbing Behavior 		1998	Nutter, David 	3.2	USA 		Bartley, John S. 	Morgan, Randy John 	
Divan ? New York, un 	Couch in New York, A 	1996	Ackerman, Chantal 	21.3			Lohmann, Dietrich 	Margie Goodspeed 	
Divided Heart, The 		1954	Crichton, Charles 	10.8	BRI 		Heller, Otto 	Bezencenet, Peter 	EAL
Divided We Fall 		2000	Hrebejk, Jan 	6.4	CZE 		Barak, Vladimir 	Malir, Jan 	
Divine 		1935	Ophuls, Max 	10	FRA 				
Divine Intervention 		2002	Suleiman, Elia 	9.8			Batigne, Marc-André 	Lange, Véronique 	
Divine Lady, The 		1929	Lloyd, Frank 	5.7	USA 		Seitz, Jon F. 	Bennett, Hugh 	FNP
Divo, il 		2008	Sorrentino, Paolo 	5.9		s 	Bigazzi, Luca 	Travoglioli, Cristian 	
Divorce of Lady X, The 		1938	Whelan, Tim 	8.27	BRI 		Stradling, Harry 	Hornbeck, William 	LON
Divorce, le 		2003	Ivory, James 	4.44			Lhomme, Pierre 	Allen, John David 	MIV
Divorcee, The 		1930	Leonard, Robert Z. 	10.5	USA 		Brodine, Norbert 	Wynn, Hugh 	MGM
Divorcing Jack 		1998	Caffrey, David 	4			Welland, James 	Moore, Nick 	
Django 		1966	Corbucci, Sergio 	6.06			Barboni, Enzo 	Montanari, Sergio 	
Djävulens Öga 		1960	Bergman, Ingmar 	11.9	SWE 		Fischer, Gunnar 	Rosander, Oscar 	SFI
Do bigha zameen 	Two Acres of Land 	1953	Roy, Bimal 	15.7	IND 		Bose, Kamal 	Mukherjee, Hrishikes 	
Do Not Disturb 		1965	Levy, Ralph 	9.95	USA 		Shamroy, Leon 	Simpson, Robert 	
Do You Love Me? 		1946	Ratoff, Gregory 	11.6	USA 		Cronjager, Edward 	Simpson, Robert 	FOX
DOA 		1988	Jankel, A. & Morton, R. 	4.21	USA 		Neyman, Yuri 	Miller, Michael R. 	TOU
DOA: Dead or Alive 		2006	Yuen, Cory 	1.66		s 	Keung, Venus & Ying Chan Chi 	Hamilton, Eddie 	
Dobermann 		1997	Kounen, Jan 	3.5	FRA 	s 	Amathieu, Michel 	Brunet, Benédict 	
Dobry vojak Svejk 	Good Soldier Svejk, The 	1926	Lamac, Karel 	5.3	CZE 		Heller, Otto 		
Doc Hollywood 		1991	Caton-Jones, Michael 	6.92	USA 		Chapman, Michael 	Nedd-Frinedly, Priscilla 	
Docks of New York 		1928	Sternberg, Josef von 	6.5	USA 				
Doctor at Large 		1957	Thomas, Ralph 	10.85	BRI 		Steward, Ernest 	Wilson, Frederick 	
Doctor at Sea 		1955	Thomas, Ralph 	11.37	BRI 		Steward, Ernest 	Wilson, Frederick 	
Doctor Dolittle 		1967	Fleischer, R. 	6	USA 	s 	Surtees, Robert 	Beetley, Samuel E. 	
Doctor Dolittle 		1998	Thomas, Betty 	3.5	USA 		Boyd, Russell 	Teschner, Peter 	FOX
Doctor in Clover 		1966	Thomas, Ralph 	7.79	BRI 		Steward, Ernest 	Roome, Alfred 	
Doctor In Distress 		1964	Thomas, Ralph 	7.68	BRI 		Steward, Ernest 	Roome, Alfred 	
Doctor in Love 		1960	Thomas, Ralph 	7.5	BRI 		Steward, Ernest 	Roome, Alfred 	RAN
Doctor in the House 		1954	Thomas, Ralph 	9.29	BRI 		Steward, Ernest 	Thomas, Gerald 	GFP
Doctor in Trouble 		1970	Thomas, Ralph 	7.83	BRI 		Steward, Ernest 	Boita, Peter 	
Doctor Sleep 		2002	Willing, Nick 	5.34			Sova, Peter 	Howie, Niven 	
Doctor Zhivago 		1965	Lean, David 	9	USA 	s 	Young, Freddie 	Savage, Norman 	
Dodes'ka-Den 		1970	Kurosawa, Akira 	20	JAP 		Saito, T. & Fukuzawa 		
Dodge City 		1939	Curtiz, Michael 	6	USA 		Polito, Sol 	Amy, George 	WAR
Dodgeball: A True Underdog Story 		2004	Thurber, Rawson Marshall 	2.55	USA 		Zielinski, Jerzy 	Baumgarten, Alan 	
D¸dspringet til Hest fra Cirkuskuplen 		1912	Schnedler-Sorensen, E. 	17	DEN 				NOR
Dog Day Afternoon 		1975	Lumet, Sidney 	4.9	USA 		Kemper, Victor J. 	Allen, Dede 	WAR
Dog Eat Dog 		2000	Shoaibi, Moody 	4.94			Daly, John 	Dunkley, Luke 	
Dog of Flanders, A 		1999	Brodie, Kevin 	6			Ende, W. van den 	Szanto, Annamaria 	
Dog Pound 		2009	Chapiron, Kim 	4.39			Chemetoff, André 	Weill, Benjamin 	
Dog Soldiers 		2001	Marshall, Neill 	3.2			McCurdy, Sam 	Marshall, Neill 	
Dogma 		1999	Smith, Kevin 	3.4	USA 		Yeoman, Robert 	Smith, K. & Mosier, 	
Dogmatic 		1996	Fearnley, Neill 	4.4	CAN 		Wincenty, Richard 	Lawrence, Stephen 	
Dogs of War, The 		1980	Irvin, John 	6.35	BRI 		Cardiff, Jack 	Gibbs, Antony 	
Dogtooth 	Kynodontos 	2009	Lanthinos, Yorgos 	17.57	GRE 	s 	Bakatatakis, Thimios 	Mavropsaridis, Yorgos 	
Dogville 		2003	Trier, Lars Von 	6.51			Mantle, Anthony Dod 	Stensgard, Molly Mallene 	
Dolce vita, la 		1959	Fellini, Federico 	9.4	ITA 	s 	Martelli, Otello 	Cattozzo, Leo 	
Dollar 		1938	Molander, Gustaf 	12	SWE 		Dahlqvist, Åke 		SFI
Dolores Claiborne 		1995	Hackford, Taylor 	4.73	USA 	s 	Beristain, Gabriel 	Warner, Mark 	CRO
Dom na Trubnoi 	House on Trubnaya Square, The 	1928	Barnet, Boris 	3.8	RUS 				
Domestic Disturbance 		2001	Becker, Harold 	6.8	USA 		Seresin, Michael 	Honess, Peter 	
Domicile Conjugale 		1970	Truffaut, Francois 	14.2	FRA 		Almendros, Nestor 	Guillemot, Agnes 	
Domino 		2005	Scott, Tony 	1.72	USA 		Mindel, Dan 	Goldenberg, W. & Wagner, C. 	
Don 		1998	Jalili, Abolaz 	22	IRA 		Jodat, Farzad 	Jalili, Abolaz 	
Don Juan DeMarco 		1995	Leven, Jeremy 	6.2	USA 		Bode, Ralf 	Gibbs, Tony 	
Dong-Chun De Rizi 	Days, The 	1993	Wang Xiaoshuai 	14.8	CHI 		Wu Di & Liu Jie 		
Donkey Punch 		2007	Blackburn, Olly 	4.91	BRI 		Segal, Nanu 	Evans, Kate 	
Donkeys 		2010	McKinnon, Morag 	5.49	BRI 		Crawley, Lol 	Moore, colin 	
Donna pi? bella dell mondo, la 	Beautiful but Dangerous 	1955	Leonard, Robert Z. 	10.3					
Donnie Brasco 		1997	Newell, Mike 	5.7		s 	Sova, Peter 	Gregory, Jon 	MLY
Donnie Darko 		2001	Kelly, Richard 	5.5	USA 		Poster, Steven 	Bauer, S. & Strand, 	
Donovan's Brain 		1953	Feist, Felix 	10	USA 		Biroc, Joseph 	Strock, Herbert 	
Donovan's Reef 		1963	Ford, John 	9	USA 		Clothier, William H. 	Lovering, Otho 	
Don't Be a Menace to South Central While D 		1996	Barclay, Paris 	5	USA 				MMX
Don't Be Afraid of the Dark 		2010	Nixey, Troy 	5.07	USA 	s 	Stapleton, Oliver 	Billcock, Jill 	MMX
Don't Change Your Husband 		1919	DeMille, Cecil B. 	8.5	USA 		Wyckoff, Alvin 	Bauchens, Anne 	PAR
Don't Get Me Wrong 		1937	Woods, A. & Purdell, R. 	10.5	BRI 		Lapresle, Robert 	Ridout, Arthur 	WBT
Don't Go Breaking My Heart 		1999	Patterson, Willi 	4.7	BRI 		Layton, Vernon 	Beston, Peter 	PGR
Don't Just Lie There, Say Something! 		1973	Kellett, Bob 	7.04	BRI 		Aitchelor, Jack 	Gell, Al 	
Don't Look Now 		1973	Roeg, Nicolas 	5.7	BRI 		Richmond, Anthony B. 	Clifford, Graeme 	
Don't Make Waves 		1967	Mackendrick, Alexander 	8	USA 	s 	Lathrop, Philip H. 	Roland, Rita 	
Don't Move, Die and Rise Again 		1989	Kanevsky, Vitaly 	26.3	RUS 				
Don't Say a Word 		2001	Fleder, Gary 	2.2		s 	Mokri, Amir 	Steinkamp & Minasian 	REG
Don't Take it to Heart 		1944	Dell, Jeffrey 	7.3	BRI 		Cross, Eric 	Wilson, Frederick 	2CI
Don't Worry About Me 		2009	Morrissey, David 	5.91	BRI 		White, Stewart Nicholas 	Eckersley, Mark 	
Doom 		2005	Bartkowiak, Andrzej 	2.47		s 	Pierce-Roberts, Tony 	Brechin, Derek 	
Doom Generation, The 		1995	Araki, Gregg 	6.4			Fealy, Jim 	Araki, Gregg 	
Doom Runners 		1997	Maher, Brendan 	4.3	USA 		Arnold, Steve 	Dangar, Henry 	
Doomsday Man 		1999	Greenblatt, William R. 	3.2	USA 		Chewing, Alton 	Jones, Sherwood 	
Doomwatch 		1972	Sasdy, Peter 	7.2	BRI 		Talbot, Kenneth 	Palmer, Keith 	TIG
Door to Door 		2002	Schachter, steven 	4.33	USA 	t 	Kiesser, Jan 	Dixon, Paul 	
Doppelganger 	Journey to the Far Side of the Sun 	1969	Parrish, Robert 	5.3	BRI 		Read, John 	Walter, Len 	
Dorado, el 		1967	Hawks, Howard 	5.51	USA 		Rosson, Harold 	Woodcock, John 	PAR
Dorian Gray 		2009	Parker, Oliver 	3.99	BRI 		Pratt, Roger 	Bensley, Guy 	
Doss House 		1933	Baxter, John 	18	BRI 		Stretton, George D. 	Gardener, R.& Swan,R 	SCF
Double Confession 		1950	Annakin, Ken 	11.85	BRI 		Unsworth, Geoffrey 	Beliaeff, Carmen 	
Double Dynamite 		1951	Cummings, Irving 	10.1	USA 		Grasse, Robert de 	Marker, Harry 	RKO
Double Impact 		1991	Lettich, Sheldon 	2.51			Kline, Richard H. 	Conte, Mark 	
Double Indemnity 		1944	Wilder, Billy 	14.5	USA 				
Double Jeopardy 		1999	Beresford, Bruce 	3.8	USA 	s 	James, Peter 	Warner, Mark 	PAR
Double Life, A 		1947	Cukor, George 	15.26	USA 		Krasner, Milton 	Parrish, Robert 	
Double Take 		2001	Gallo, George 	3.5	USA 		Sande, Theo Van De 	Campbell, Malcolm 	TOU
Double Take 		2009	Grimonprez, John 	3.79				Diependiele & Hubby 	
Double Team 		1997	Hark, Tsui 	2.9	USA 		Pau, Peter 	Panlow, Bill 	
Double vie de Véronique, la 		1991	Kieslowski, Krzysztof 	11.4			Idziak, S. 	Witta, Jacques 	
Double, The 		2011	Brandt, Michael 	3.03	USA 	s 	Kimball, Jeffery 	Mirkovitch, Steven 	
Doubt 		2008	Shanley, John Patrick 	6.54	USA 		Deakins, Roger 	Tichenor, Dylan 	MMX
Douce 		1943	Autant-Lara, Claude 	13.5	FRA 		Agostini, Philipe 	Gug, Madeleine 	
Doulos, le 		1962	Melville, Jean-Pierre 	8.71	FRA 		Hayer, Nicolas 	Bonnot, Monique 	
Dove, The 		1974	Jarrott, Charles 	8.1		s 	Nykvist, Sven 	Jympson, John 	
Down and Out in Beverly Hills 		1986	Mazursky, Paul 	7.63	USA 		McAlpine, Donald 	Halsey. Michael 	TOU
Down By Law 		1986	Jarmusch, Jim 	57	USA 		Muller, Robby 	London, Melody 	ISL
Down in the Valley 		2004	Jacobson, David 	5.71	USA 	s 	Chediak, Enrique 	Klingsman, L. & Harrison, E. 	
Down Periscope 		1996	Ward, David S. 	3.9	USA 		Hammer, Victor 	Anderson & Minasian 	FOX
Down Terrace 		2009	Wheatley, Ben 	7.32	BRI 		Rose, Laurie 	Wheatley, Ben & Hill, Robin 	
Down to Earth 		1947	Hall, Alexander 	9.8	USA 		Maté, Rudolph 	Lawrence, Viola 	COL
Down to You 		2000	Isacsson, Kris 	4.4	USA 		Yeoman, Robert 	Rotter, Stephen A. 	MMX
Down With Love 		2003	Reed, Peyton 	4.93	USA 	s 	Cronenweth, Jeff 	Bock, Larry 	
Downfall 		2004	Hirschbiegel, Oliver 	4.45	GER 		Klausmann, Rainer 	Funck, Hans 	
Downhill 		1927	Hitchcock, Alfred 	7	BRI 		McDonnell, Claude L. 	Rich & Montagu 	
Downtime 		1997	Nalluri, Bharat 	3.6			Imi, Tony 	Healey, Les 	
Dr. Broadway 		1942	Mann, Anthony 	0	USA 				
Dr. Bull 		1933	Ford, John 	11.3	USA 		Schneiderman, George 		FOX
Dr. Crippen 		1962	Lynn, Robert 	12.5	BRI 		Roeg, Nick 	Doig, Lee 	
Dr. Cyclops 		1940	Schoedsack, Ernest 	7.26	USA 		Sharp, Henry 	Hoagland, Elsworth 	PAR
Dr. Dolittle 2 		2001	Carr, Steve 	3.3	USA 		Okada, Daryn 	Herring, Craig P. 	FOX
Dr. Ehrlich's Magic Bullet 		1940	Dieterle, William 	10	USA 		Howe, James Wong 	Low, Warren 	WAR
Dr. Goldfoot and the Bikini Machine 		1966	Taurog, Norman 	6.8	USA 	s 	Leavitt, Sam 	Sinclair, Feitshans, 	AIP
Dr. Goldfoot and the Girl Bombs 	Spie vengono dal semifreddo, le 	1966	Bava, Mario 	8.1	USA 		Rinaldi, Antonio 	Sinclair, Ronald 	AIP
Dr. Jekyll and Mr. Hyde 		1941	Fleming, Victor 	7.5	USA 				
Dr. Jekyll and Ms. Hyde 		1995	Price, David F. 	4.3	USA 		Priestley, Tom 	Lombardo, Tony 	
Dr. Jekyll and Sister Hyde 		1971	Baker, Roy Ward 	6.69	BRI 		Warwick, Norman 	Needs, James 	HAM
Dr. M 		1989	Chabrol, Claude 	8.1			Rabier, Jean 	Fardoulis, Monique 	
Dr. Mabuse der Spieler (1) 		1922	Lang, Fritz 	8	GER 				
Dr. Mabuse der Spieler (2) 		1922	Lang, Fritz 	9	GER 				
Dr. No 		1962	Young, Terence 	6.88	BRI 		Moore, Ted 	Hunt, Peter 	
Dr. Phibes Rises Again 		1972	Fuest, Robert 	5.3	BRI 		Thomson, Alex 	Cones, Tristram 	AIP
Dr. Stranglelove: or How I Learned 	To Stop Worrying and 	1964	Kubrick, Stanley 	8.21	BRI 		Taylor, Gilbert 	Harvey, Anthony 	
Dr. T & the Women 		2000	Altman, Robert 	5.5	USA 		Kiesser, Jan 	Peroni, Geraldine 	
Dr. Terror's House of Horrors 		1965	Francis, Freddie 	8	BRI 				
Dracula 		1979	Badham, John 	4.96	USA 	s 	Taylor, Gilbert 	Bloom, John 	MIR
Dracula - Prince of Darkness 		1965	Fisher, Terence 	7.84	BRI 	s 	Reed, Michael 	Barnes, Chris 	HAM
Dracula 2000 		2000	Lussier, Patrick 	2.7	USA 	s 	Pay, Peter 	Lussier & Flanagan 	DIM
Dracula Has Risen From the Grave 		1968	Francis, Freddie 	7	BRI 		Grant, Arthur 	Reeve, Spencer 	HAM
Dracula: Dead and Loving It 		1995	Brooks, Mel 	6.4	USA 		O'Shea, Michael D. 	Weiss, Adam 	
Dragnet 		1987	Mankiewicz, Tom 	4.03	USA 		Leonetti, Matthew F. 	Halsey, Richard 	UNI
Dragon Painter, The 		1919	Worthington, William 	5.3	USA 				HAW
Dragon: The Bruce Lee Story 		1993	Cohen, Rob 	4.96	USA 	s 	Eggby, David 	Amundson, Peter 	UNI
Dragonball Evolution 		2009	Wong, James 	2.57		s 	Lachman, Robert M. 	Friedman, Matthew & Willingham, Chris 	
Dragonfly 		2002	Shadyac, Tom 	4.7	USA 	s 	Semler, Dean 	Zimmerman, Don 	
Dragonfly Squadron 		1954	Selander, Lesley 	9.17	USA 		Neumann, Harry 	Hannemann, Walter 	AA
DragonHeart 		1996	Cohen, Rob 	4	USA 		Eggby, David 	Amundson, Peter 	UNI
Dragonheart II: A New Beginning 		1999	Lefler, Doug 	3.7	USA 		Feitshans IV, Buzz 	Taylor, John M. 	UNI
Dragonslayer 		1981	Robbins, Matthew 	5.65	USA 	s 	Vanlint, Derek 	Lawson, Tony 	
Dragonwyck 		1946	Mankiewicz, Joseph 	10.59	USA 		Miller, Arthur 	Spencer, Dorothy 	FOX
Dragoon Wells Massacre 		1957	Schuster, Harold 	9	USA 	s 	Clothier, William 	Wright, Maurice 	AA
Drawn to the Flame 		1997	Landsburg, Valerie 	6.9	USA 		Munzi, Maximo 	Garden, Ira 	MYS
Dream of Kings, A 		1969	Mann, Daniel 	12.2	USA 		Kline, Richard H. 	Hannemann & Daniels 	NGE
Dream Team, The 		1989	Zieff, Howard 	5.87	USA 		Holender, Adam 	O'Meara, C. Timothy 	
Dream with the Fishes 		1996	Taylor, Finn 	6.3	USA 		Stone, Barry 	LeCompte, Nick 	
Dreamcatcher 		2003	Kasdan, Lawrence 	3.77		s 	Seale, John 	Littleton, Carol & Davalos, Raul 	
Dreamchild 		1985	Millar, Gavin 	6.9	BRI 		Williams, Billy 	Newton, Angus 	EMI
Dreamer 		2005	Gatins, John 	3.79	USA 		Murphy, Fred 	Rosenbloom, David 	DWK
Dreamers, The 		2003	Bertolucci, Bernardo 	7.09			Cianchetti, Fabio 	Quadri, Jacopo 	
Dreams 		1990	Kurosawa, Akira 	14	JAP 		Saito, Takao & Ueda 	Minami, Tome 	AKU
Dreams of a Life 		2011	Morley, Carol 	7.4			Farbrother, Mary & Hall, Lynda 	Wyatt, Chris 	
Dreams That Money Can Buy 		1947	Richter, Hans 	6.11	USA 		Eagle, Ernest 		
Dressed to Kill 		1946	Neill, Roy William 	12.4	USA 		Gertsman, Maury 	Goodkind, Saul A. 	
Dressed to Kill 		1980	De Palma, Brian 	6.2	USA 	s 	Bode, Ralf 	Greenberg, Jerry 	
Dresser, The 		1983	Yates, Peter 	10.5	BRI 		Pike, Kelvin 	Lovejoy, Ray 	COL
Dreyfus 		1931	Rosmer, M. & Kraemer, F.W 	16	BRI 		Winterstein, W. 	Harlow, John 	BIP
Drifting Clouds 		1996	Kaurismäki, Aki 	20.1	FIN 		Salminen, Timo 		
Drillbit Taylor 		2007	Brill, Steven 	3.16	USA 	s 	Murphy, Fred 	Nordberg, Thomas J. 	PAR
Driller Killer, The 		1979	Ferrara, Abel 	6.6	USA 		Kelsch, Ken 	Gallini, Constant, F 	
Drive 		2011	Refn, Nicholas Winding 	6.79	USA 	s 	Sigel, Newton Thomas 	Newman, Mat 	
Drive a Crooked Road 		1954	Quine, Richard 	10.2	USA 		Lawton, Jr., Charles 	Thoms, Jerome 	COL
Drive Angry 		2011	Lussier, Patrick 	2.76	USA 		Pearson, Brian 	Lussier, Patrick & Devin C. 	
Drive Me Crazy 		1999	Schultz, John 	3.9	USA 		Ostrum, Kees Van 	Pace, John 	FOX
