,MeanValenceVisualMSE,MeanValenceVisualPCC,MeanValenceAudioMSE,MeanValenceAudioPCC,MeanArousalAudioMSE,MeanArousalAudioPCC,MeanArousalVisualMSE,MeanArousalVisualPCC,MeanValenceLowLevelMSE,MeanValenceLowLevelPCC,MeanValenceDeepMSE,MeanValenceDeepPCC,MeanArousalLowLevelMSE,MeanArousalLowLevelPCC,MeanArousalDeepMSE,MeanArousalDeepPCC
count,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
mean,0.154086308464,0.0170049603609,0.117275049835,0.0654498045756,0.0861270920816,0.152888534485,0.0918086463553,0.0800428909994,0.139978431531,0.0212518296065,0.12500342431,0.133248272329,0.0976946724766,0.037406684584,0.0886232353192,0.156133178736
std,0.0887040628135,0.239715362415,0.0755831846738,0.294743122691,0.0720370023046,0.297723268555,0.0542714516648,0.329962122764,0.0719421555203,0.267876166196,0.0666577004399,0.294210498879,0.0542812416043,0.233049132338,0.0582368327966,0.282590740682
min,0.0405027137712,-0.736012722253,0.0312975779723,-0.501472464543,0.0141763396216,-0.551834818791,0.00873185502346,-0.845257311845,0.0249781706619,-0.578514432247,0.0268591568741,-0.86014219573,0.0250494251139,-0.485492443423,0.00944059022771,-0.554781177034
25%,0.0936771201792,-0.0777447423553,0.0633181054951,-0.107795709485,0.0462712734963,-0.0830398817478,0.0588017822035,-0.105190026389,0.0851517223675,-0.140389733423,0.0848318672211,-0.0135298004892,0.06551279078,-0.152292610828,0.0548867240522,0.0340461820375
50%,0.155479599532,0.0159847616898,0.102596853703,0.0463923472973,0.0609659797742,0.187240575809,0.078150729316,0.0855865395848,0.11627074128,-0.0052689065999,0.101948581918,0.124986167253,0.0856675525925,0.0323541645366,0.0737988544958,0.16305501386
75%,0.19223300195,0.127172971293,0.151066939912,0.263797063694,0.0901139581058,0.353771688814,0.108476541812,0.300959689218,0.187379017493,0.210898519094,0.158342369045,0.261585564425,0.112823478825,0.164641369373,0.0972665139422,0.301484324449
max,0.554519127358,0.895723672399,0.417572261105,0.708789972229,0.360215469052,0.874534830385,0.2314649089,0.738112768258,0.314173379978,0.571964253562,0.330868883128,0.859324010633,0.254199798947,0.607855838541,0.295981155202,0.821253961133
